Date,Open,High,Low,Close,Volume,Ticker,Return,Volatility,Volume_Zscore,Return_Zscore,Manipulation_Flag,stock,sentiment_score,risk_score,event_count,twitter_sentiment
2023-03-07,62.29999923706055,63.5,60.0,60.099998474121094,1622990,AMC,-0.0384000244140625,0.1134339412456613,-0.3258396728987954,-0.3716882467957214,0,AMC,0.5,1.0,0.0,0.5
2023-03-08,60.400001525878906,61.29999923706055,56.70000076293945,58.400001525878906,1986210,AMC,-0.0282861396240168,0.0536449704628589,-0.2855179745922573,-0.2783063296392503,0,AMC,0.5,1.0,0.0,0.5
2023-03-09,57.400001525878906,59.20000076293945,55.599998474121094,56.5,1617850,AMC,-0.0325342718533484,0.0524198548960929,-0.3264102734419803,-0.3175295104589111,0,AMC,0.5,1.0,0.0,0.5
2023-03-10,55.599998474121094,56.20000076293945,53.0,53.79999923706055,1557470,AMC,-0.0477876241228222,0.0487918710274925,-0.33311316464772,-0.4583643437158987,0,AMC,0.5,1.0,0.0,0.5
2023-03-13,54.400001525878906,55.599998474121094,52.400001525878906,54.599998474121094,1551810,AMC,0.0148698745056758,0.0465684177569789,-0.3337414913158963,0.1201549362265483,0,AMC,0.5,1.0,0.0,0.5
2023-03-14,54.79999923706055,55.099998474121094,43.599998474121094,46.400001525878906,6487130,AMC,-0.1501830984872419,0.0501944399319253,0.2141371609780952,-1.4037859994684745,0,AMC,0.5,1.0,0.0,0.5
2023-03-15,45.29999923706055,46.099998474121094,41.5,42.099998474121094,3632330,AMC,-0.0926724765161818,0.0530604221204055,-0.102779265225046,-0.8727880448739771,0,AMC,0.5,1.0,0.0,0.5
2023-03-16,42.20000076293945,46.5,40.599998474121094,43.900001525878906,2793170,AMC,0.0427554184559952,0.0645498632748591,-0.1959359095478105,0.377623318464279,0,AMC,0.5,1.0,0.0,0.5
2023-03-17,43.0,43.400001525878906,41.099998474121094,41.79999923706055,2743360,AMC,-0.047836041362787,0.0642811556158142,-0.2014654062513198,-0.4588113820978063,0,AMC,0.5,1.0,0.0,0.5
2023-03-20,42.5,43.79999923706055,41.400001525878906,42.70000076293945,1758130,AMC,0.0215311373757383,0.069066297692201,-0.3108375411077444,0.1816586521974748,0,AMC,0.5,1.0,0.0,0.5
